planet_name,jwst_instrument,jwst_filter,jwst_dispersion,num_obs,eap_months,pid,type
V1298 Tau d,NIRISS / SOSS,-,GR700XD,1,0,5959,Transit
V1298 Tau e,NIRSpec / BOTS,F290LP,G395H,1,12,5882,Transit
WASP-103 b,NIRSpec / BOTS,CLEAR,PRISM,1,12,5022,Phase Curve
WASP-12 b,NIRSpec / BOTS,CLEAR,PRISM,1,0,5924,Transit
WASP-19 b,NIRSpec / BOTS,CLEAR,PRISM,1,0,5924,Transit
WASP-39 b,NIRSpec / BOTS,F290LP,G395H,1,12,5634,Eclipse
WASP-6 b,NIRSpec / BOTS,CLEAR,PRISM,1,0,5924,Transit
WASP-63 b,NIRSpec / BOTS,F290LP,G395H,1,0,5924,Transit
WASP-69 b,NIRISS / SOSS,-,GR700XD,1,0,5924,Transit
WASP-76 b,NIRSpec / BOTS,F290LP,G395H,1,12,5268,Phase Curve
WASP-76 b,MIRI / LRS,-,SLITLESS,1,12,6045,Transit
WASP-76 b,NIRISS / SOSS,-,GR700XD,1,0,5924,Transit
WASP-80 b,NIRISS / SOSS,-,GR700XD,1,0,5924,Transit
WASP-94 A b,NIRISS / SOSS,-,GR700XD,1,0,5924,Transit
