planet_name,jwst_instrument,jwst_filter,jwst_dispersion,type,num_obs,jwst_cycle,pid,eap_months,radius_rearth,mass_mearth,period_day,sma_au,eq-temp_kelvin,host_name,system_p-num,system_s-num,system-distance_pc,star-teff_kelvin,star-radius_rsol,star-mass_msol,star-log10-lbol_lsol,star-age_ga,star-rotvel_kms
TOI-849 b,NIRSpec / BOTS,F290LP,G395H,Eclipse,3,3,5967,12,3.64,41.8,0.765548,0.0155,1932.0,TOI-849,1.0,1.0,225.734,5257.0,0.97,0.97,-0.218,6.7,
TRAPPIST-1 b,MIRI / Imaging,F1550W,-,Eclipse,4,3,5191,12,1.116,1.374,1.510826,0.01154,397.6,TRAPPIST-1,7.0,1.0,12.4298888,2566.0,0.12,0.09,-3.257,0.5,2.04
TRAPPIST-1 b,NIRSpec / BOTS,CLEAR,PRISM,Transit,6,3,6456,0,1.116,1.374,1.510826,0.01154,397.6,TRAPPIST-1,7.0,1.0,12.4298888,2566.0,0.12,0.09,-3.257,0.5,2.04
TRAPPIST-1 c,MIRI / Imaging,F1550W,-,Eclipse,4,3,5191,12,1.097,1.308,2.421937,0.0158,339.7,TRAPPIST-1,7.0,1.0,12.4298888,2566.0,0.12,0.09,-3.257,0.5,2.04
TRAPPIST-1 e,NIRSpec / BOTS,CLEAR,PRISM,Transit,6,3,6456,0,0.92,0.692,6.101013,0.02925,249.7,TRAPPIST-1,7.0,1.0,12.4298888,2566.0,0.12,0.09,-3.257,0.5,2.04
V1298 Tau c,NIRSpec / BOTS,F290LP,G395H,Transit,1,3,5959,0,5.59,76.27882,8.24958,0.0825,968.0,V1298 Tau,4.0,3.0,108.199,4941.0,1.41,1.14,-0.038,0.023,24.77
V1298 Tau c,NIRISS / SOSS,-,GR700XD,Transit,1,3,5959,0,5.59,76.27882,8.24958,0.0825,968.0,V1298 Tau,4.0,3.0,108.199,4941.0,1.41,1.14,-0.038,0.023,24.77
V1298 Tau d,NIRSpec / BOTS,F290LP,G395H,Transit,1,3,5882,12,6.41,98.52681,12.4032,0.1083,845.0,V1298 Tau,4.0,3.0,108.199,4941.0,1.41,1.14,-0.038,0.023,24.77
V1298 Tau d,NIRSpec / BOTS,F290LP,G395H,Transit,1,3,5959,0,6.41,98.52681,12.4032,0.1083,845.0,V1298 Tau,4.0,3.0,108.199,4941.0,1.41,1.14,-0.038,0.023,24.77
V1298 Tau d,NIRISS / SOSS,-,GR700XD,Transit,1,3,5959,0,6.41,98.52681,12.4032,0.1083,845.0,V1298 Tau,4.0,3.0,108.199,4941.0,1.41,1.14,-0.038,0.023,24.77
V1298 Tau e,NIRSpec / BOTS,F290LP,G395H,Transit,1,3,5882,12,9.976,321.00669,53.5,0.2409,492.0,V1298 Tau,4.0,3.0,108.199,4941.0,1.41,1.14,-0.038,0.013,24.77
WASP-103 b,NIRSpec / BOTS,CLEAR,PRISM,Phase Curve,1,3,5022,12,17.127,473.547,0.925542,0.01985,2508.0,WASP-103,1.0,1.0,375.647,6110.0,1.44,1.22,0.413,4.0,10.6
WASP-12 b,NIRSpec / BOTS,CLEAR,PRISM,Transit,1,3,5924,0,21.712,465.62095,1.09142,0.0232,2592.6,WASP-12,1.0,3.0,427.246,6313.0,1.66,1.43,0.536,2.0,1.6
WASP-19 b,NIRSpec / BOTS,CLEAR,PRISM,Transit,1,3,5924,0,15.861,366.77398,0.78883852,0.01652,2113.0,WASP-19,1.0,1.0,268.325,5616.0,1.01,0.97,-0.043,6.4,4.63
WASP-39 b,NIRSpec / BOTS,F290LP,G395H,Eclipse,1,3,5634,12,14.93,88.989,4.0552842,0.0486,1166.0,WASP-39,1.0,1.0,213.982,5485.0,0.92,0.93,-0.199,9.0,1.0
WASP-6 b,NIRSpec / BOTS,CLEAR,PRISM,Transit,1,3,5924,0,11.545,117.5971,3.36101,0.04217,1184.0,WASP-6,1.0,1.0,197.119,5450.0,0.73,0.55,-0.297,11.0,1.4
WASP-63 b,NIRSpec / BOTS,F290LP,G395H,Transit,1,3,5924,0,15.805,117.5971,4.37808,0.0574,1469.90841337,WASP-63,1.0,1.0,290.684,5550.0,1.86,1.28,0.449,8.3,2.8
WASP-69 b,NIRISS / SOSS,-,GR700XD,Transit,1,3,5924,0,12.442,92.1707,3.86814,0.04525,963.0,WASP-69,1.0,1.0,49.9605,4700.0,0.86,0.98,-0.468,7.0,2.2
WASP-76 b,NIRSpec / BOTS,F290LP,G395H,Phase Curve,1,3,5268,12,20.781,284.1386,1.80988198,0.033,2228.0,WASP-76,1.0,2.0,194.459,6329.0,1.76,1.46,0.654,1.816,1.48
WASP-76 b,MIRI / LRS,-,SLITLESS,Transit,1,3,6045,12,20.781,284.1386,1.80988198,0.033,2228.0,WASP-76,1.0,2.0,194.459,6329.0,1.76,1.46,0.654,1.816,1.48
WASP-76 b,NIRISS / SOSS,-,GR700XD,Transit,1,3,5924,0,20.781,284.1386,1.80988198,0.033,2228.0,WASP-76,1.0,2.0,194.459,6329.0,1.76,1.46,0.654,1.816,1.48
WASP-80 b,NIRISS / SOSS,-,GR700XD,Transit,1,3,5924,0,11.198,170.99254,3.06785234,0.0344,825.0,WASP-80,1.0,1.0,49.7876,4143.0,0.59,0.58,-1.04,7.0,1.27
WASP-94 A b,NIRISS / SOSS,-,GR700XD,Transit,1,3,5924,0,17.71,158.915,3.95019,0.055,1604.0,WASP-94 A,2.0,2.0,211.211,6170.0,1.48,1.67,0.51,2.7,4.2
